Frame,Object Name,Confidence,Xmin,Ymin,Xmax,Ymax
1,LicensePlate,0.9815333,231,131,299,165
2,LicensePlate,0.9904368,231,131,297,165
3,LicensePlate,0.98548925,231,131,298,165
4,LicensePlate,0.9897933,231,131,296,165
5,LicensePlate,0.9824693,231,131,297,165
6,LicensePlate,0.99167657,230,131,293,165
7,LicensePlate,0.9937883,230,131,292,165
8,LicensePlate,0.9936311,230,131,292,165
9,LicensePlate,0.9948771,229,131,291,165
10,LicensePlate,0.99410135,230,131,292,165
11,LicensePlate,0.9938721,229,131,292,165
12,LicensePlate,0.99438477,229,131,292,165
12,LicensePlate,0.5733329,310,229,383,249
13,LicensePlate,0.9939566,229,131,292,165
14,LicensePlate,0.9967518,229,131,291,165
15,LicensePlate,0.9965364,229,131,291,165
16,LicensePlate,0.99803954,229,131,291,165
17,LicensePlate,0.9979672,229,131,290,165
18,LicensePlate,0.9984239,229,131,290,165
19,LicensePlate,0.99906844,229,131,290,165
20,LicensePlate,0.9989284,229,131,290,165
21,LicensePlate,0.99906284,229,131,290,165
22,LicensePlate,0.99902487,229,131,289,165
23,LicensePlate,0.99902976,229,131,289,165
24,LicensePlate,0.9992487,229,131,288,165
25,LicensePlate,0.99918234,229,132,288,165
26,LicensePlate,0.9991821,229,132,288,165
27,LicensePlate,0.9990742,228,132,288,165
27,LicensePlate,0.61644137,328,227,410,247
28,LicensePlate,0.9990277,228,132,287,165
28,LicensePlate,0.902413,2,205,64,233
29,LicensePlate,0.99894816,228,132,288,165
29,LicensePlate,0.83604026,3,205,67,233
30,LicensePlate,0.99865395,228,132,288,165
30,LicensePlate,0.69078344,4,206,71,233
31,LicensePlate,0.99817014,228,132,287,165
32,LicensePlate,0.996002,227,132,287,164
32,LicensePlate,0.7949858,1,207,75,232
33,LicensePlate,0.9940735,227,132,287,165
33,LicensePlate,0.80820733,1,207,77,232
34,LicensePlate,0.9870052,227,132,287,164
34,LicensePlate,0.5828545,1,207,81,232
35,LicensePlate,0.9836573,227,132,287,164
36,LicensePlate,0.9234798,224,132,286,164
36,LicensePlate,0.53719664,6,208,89,232
37,LicensePlate,0.9049084,9,207,92,233
37,LicensePlate,0.78217596,222,133,287,164
38,LicensePlate,0.88164866,12,208,94,233
42,LicensePlate,0.7954788,27,208,108,232
43,LicensePlate,0.6423684,31,209,110,232
45,LicensePlate,0.57324636,38,210,119,232
46,LicensePlate,0.81478703,42,209,121,233
47,LicensePlate,0.96263987,43,209,123,233
48,LicensePlate,0.84646153,46,209,126,233
51,LicensePlate,0.6670549,58,210,142,233
52,LicensePlate,0.70264614,60,211,144,234
53,LicensePlate,0.9058717,63,211,141,234
54,LicensePlate,0.5675818,65,211,153,234
99,LicensePlate,0.5965625,334,248,368,282
100,LicensePlate,0.50262105,334,250,369,282
129,LicensePlate,0.5428333,233,149,308,179
130,LicensePlate,0.86256397,233,149,301,179
131,LicensePlate,0.8607532,233,149,301,180
132,LicensePlate,0.93223816,233,149,297,180
133,LicensePlate,0.9853827,233,149,295,180
134,LicensePlate,0.98972636,233,149,296,180
135,LicensePlate,0.9881684,233,149,297,181
136,LicensePlate,0.99830425,233,149,296,181
137,LicensePlate,0.99880815,233,149,296,182
138,LicensePlate,0.9978188,234,149,297,182
139,LicensePlate,0.9948645,234,149,298,183
139,LicensePlate,0.7343104,1,235,48,264
140,LicensePlate,0.98690623,235,149,300,182
140,LicensePlate,0.65238845,1,235,52,264
141,LicensePlate,0.78417087,235,149,302,182
141,LicensePlate,0.67371964,1,236,56,263
142,LicensePlate,0.9373019,1,236,61,262
142,LicensePlate,0.8209449,235,149,302,182
143,LicensePlate,0.9837202,1,236,63,262
143,LicensePlate,0.58982736,235,149,304,182
144,LicensePlate,0.96778536,1,236,70,262
145,LicensePlate,0.93085104,1,236,73,261
146,LicensePlate,0.9910786,1,236,76,261
147,LicensePlate,0.97688186,1,236,78,261
148,LicensePlate,0.98019373,1,236,82,261
149,LicensePlate,0.95931476,3,236,88,261
150,LicensePlate,0.9774954,4,237,92,261
151,LicensePlate,0.99440145,6,236,94,260
152,LicensePlate,0.98198926,8,236,98,261
153,LicensePlate,0.95824,13,236,101,261
154,LicensePlate,0.91394174,19,236,106,260
155,LicensePlate,0.95455974,21,236,109,260
156,LicensePlate,0.9675095,24,236,110,260
157,LicensePlate,0.95330286,28,236,113,260
158,LicensePlate,0.9948119,33,236,117,260
159,LicensePlate,0.9982666,36,236,120,260
160,LicensePlate,0.99969083,39,236,123,260
161,LicensePlate,0.99415076,43,236,125,260
162,LicensePlate,0.98771363,46,236,129,260
163,LicensePlate,0.9855034,50,236,135,260
164,LicensePlate,0.974252,53,236,137,260
165,LicensePlate,0.9955551,54,237,139,260
166,LicensePlate,0.9949332,57,236,140,260
167,LicensePlate,0.9899504,61,237,146,259
168,LicensePlate,0.99724305,66,237,149,259
169,LicensePlate,0.9986533,69,237,152,259
170,LicensePlate,0.99973917,71,237,154,259
171,LicensePlate,0.9988424,75,237,155,259
172,LicensePlate,0.9941307,77,237,161,258
173,LicensePlate,0.99670523,81,238,163,258
174,LicensePlate,0.9941589,85,238,166,258
175,LicensePlate,0.99905294,87,237,171,258
176,LicensePlate,0.9993602,90,238,171,258
177,LicensePlate,0.9980694,92,237,172,259
178,LicensePlate,0.9900109,96,238,178,258
179,LicensePlate,0.9917336,98,238,178,258
180,LicensePlate,0.9922364,101,238,181,258
181,LicensePlate,0.9916678,103,239,186,258
182,LicensePlate,0.9966451,105,238,185,259
183,LicensePlate,0.9969339,108,238,185,259
184,LicensePlate,0.95083326,111,239,192,258
185,LicensePlate,0.9809278,114,239,194,258
186,LicensePlate,0.99272263,117,239,195,258
187,LicensePlate,0.994194,117,239,198,258
188,LicensePlate,0.9958696,121,238,199,259
189,LicensePlate,0.99233913,124,238,199,258
190,LicensePlate,0.9736537,126,239,204,258
191,LicensePlate,0.99185604,131,238,206,258
192,LicensePlate,0.9742672,133,238,208,258
193,LicensePlate,0.99571675,133,238,208,258
194,LicensePlate,0.98524064,135,238,212,259
195,LicensePlate,0.966998,137,237,214,259
196,LicensePlate,0.98412955,137,237,215,259
197,LicensePlate,0.97255737,141,238,217,258
198,LicensePlate,0.98984855,143,239,221,259
199,LicensePlate,0.9936263,145,239,222,259
200,LicensePlate,0.9781085,146,239,225,259
201,LicensePlate,0.97290254,149,238,228,259
202,LicensePlate,0.9818287,154,238,229,259
203,LicensePlate,0.98569816,155,238,228,259
204,LicensePlate,0.982456,160,238,230,259
205,LicensePlate,0.9893241,162,238,232,259
206,LicensePlate,0.9835163,163,238,233,258
207,LicensePlate,0.99183595,164,238,235,258
208,LicensePlate,0.9884104,165,238,235,258
209,LicensePlate,0.9836002,167,238,237,258
210,LicensePlate,0.9362458,169,239,240,258
211,LicensePlate,0.93638253,171,238,241,258
212,LicensePlate,0.9441312,174,238,243,258
213,LicensePlate,0.96896076,176,239,245,258
214,LicensePlate,0.97006077,180,238,245,258
215,LicensePlate,0.8456535,182,238,249,257
216,LicensePlate,0.95923465,183,237,250,258
217,LicensePlate,0.98026407,183,238,252,258
218,LicensePlate,0.97466344,184,237,253,258
219,LicensePlate,0.936519,185,238,254,258
220,LicensePlate,0.8414752,189,237,260,257
221,LicensePlate,0.8759804,192,237,258,257
222,LicensePlate,0.8494544,193,237,259,257
223,LicensePlate,0.9569788,194,237,260,257
224,LicensePlate,0.9049874,195,238,261,257
225,LicensePlate,0.9011184,196,238,261,257
226,LicensePlate,0.90447235,197,237,262,257
227,LicensePlate,0.9290382,198,238,263,257
228,LicensePlate,0.94375116,199,238,266,258
229,LicensePlate,0.90290266,201,238,266,257
230,LicensePlate,0.82047135,202,237,268,257
231,LicensePlate,0.7131078,203,237,268,257
232,LicensePlate,0.8030485,204,237,270,257
233,LicensePlate,0.71728635,208,238,273,257
234,LicensePlate,0.7011356,210,239,274,257
256,LicensePlate,0.50636077,231,149,298,180
257,LicensePlate,0.60415673,231,149,297,180
258,LicensePlate,0.5660486,231,148,297,180
259,LicensePlate,0.71425205,231,148,296,181
260,LicensePlate,0.8373572,231,148,295,181
261,LicensePlate,0.8311918,231,148,296,181
262,LicensePlate,0.9381782,231,148,296,182
263,LicensePlate,0.9371109,231,148,296,182
264,LicensePlate,0.98717064,232,149,296,182
265,LicensePlate,0.9782053,232,149,298,182
266,LicensePlate,0.99276567,232,149,297,182
267,LicensePlate,0.99631923,232,149,296,182
268,LicensePlate,0.9964516,233,149,297,182
269,LicensePlate,0.9966039,233,149,297,182
270,LicensePlate,0.997496,234,149,297,183
271,LicensePlate,0.9983961,233,149,296,183
272,LicensePlate,0.9967878,233,149,297,183
273,LicensePlate,0.9939504,234,149,298,183
274,LicensePlate,0.9881057,234,149,300,183
275,LicensePlate,0.9530396,235,149,303,183
276,LicensePlate,0.920446,235,149,305,183
277,LicensePlate,0.86220706,235,149,308,183
278,LicensePlate,0.85247755,235,149,308,183
279,LicensePlate,0.7664726,235,149,311,183
280,LicensePlate,0.7430154,235,149,312,183
284,LicensePlate,0.5382149,235,148,317,183
289,LicensePlate,0.52728444,234,148,316,183
290,LicensePlate,0.58647835,234,148,316,182
291,LicensePlate,0.60984844,235,148,315,182
